city,PC1,PC2
Anchorage,-4.576109326330146,0.5286023614527999
Atlanta,-0.3167235866455449,-0.08010428694584412
Baltimore,-0.3584370486486239,-1.1021224500391296
Boston,-0.5739618361080785,-1.6181303694369789
Buffalo,2.6351027127777185,-1.1686641617418643
Chicago,-0.5082856533553572,1.2929931456009593
Cincinnati,-0.26536802369815415,-0.7873711892445185
Cleveland,0.737166490000599,0.2748340394373411
Dallas,-0.38230553762773706,0.9235442566410397
Detroit,0.1980266712855554,-1.5307615477004513
Honolulu,-2.7959986385554423,0.9103680197016889
Houston,0.4615818217803573,1.3405883141261952
Kansas_City,0.418944797175885,-0.3947446754694829
Los_Angeles,1.545830787580535,1.173235946273382
Milwaukee,1.283844945446008,0.5438933791996022
Minneapolis,0.7278888888417904,-0.603176509708466
New_York,-1.2890140290497205,-0.9185668053617955
Philadelphia,-2.101423880710275,-0.7955194766544299
Pittsburgh,0.3200877641066515,-1.084214515081716
St_Louis,1.2528185605785969,0.020509335700198528
San_Diego,2.1228477024083205,0.6793460498078356
San_Francisco,0.7132886352329704,1.3196699573065818
Seattle,1.001510560563098,0.3374909156692286
Washington,-0.251312777048986,0.7383002664678395
